pressure temperature CH4 H2S H2 He
0.726795 65.5885 0.00117816 6.92435e-13 0.809045690400561 0.18977614960013156 
0.708406 65.2085 0.00108999 5.58761e-13 0.8091171081004527 0.18979290190010617 
0.690482 64.7866 0.000995565 4.37662e-13 0.8091935923503546 0.18981084265008316 
0.673012 64.3637 0.000907694 3.41385e-13 0.8092647678602766 0.18982753814006487 
0.655984 63.9408 0.000826287 2.65323e-13 0.809330707530215 0.18984300547005042 
0.639386 63.5179 0.000750983 2.05447e-13 0.8093917037701666 0.18985731323003904 
0.623209 63.0854 0.000679536 1.5746e-13 0.8094495758401276 0.1898708881600299 
0.607441 62.6428 0.000611975 1.1936e-13 0.8095043002500968 0.1898837247500227 
0.592071 62.2002 0.00055011 9.00896e-14 0.809554410900073 0.1898954791000171 
0.577091 61.7576 0.000493562 6.76988e-14 0.809600214780055 0.18990622322001288 
0.56249 61.315 0.000441972 5.06447e-14 0.809642002680041 0.18991602532000962 
0.548258 60.9122 0.000399945 3.88207e-14 0.8096760445500316 0.1899240104500074 
0.534386 60.5107 0.000361472 2.96726e-14 0.809707207680024 0.18993132032000562 
0.520865 60.1092 0.000326146 2.25911e-14 0.8097358217400182 0.18993803226000427 
0.507687 59.7077 0.000293765 1.71309e-14 0.8097620503500139 0.18994418465000326 
0.494841 59.4132 0.000273636 1.40439e-14 0.8097783548400114 0.18994800916000268 
0.482321 59.2335 0.000264536 1.25507e-14 0.8097857258400102 0.18994973816000238 
0.470118 59.0537 0.000255646 1.12069e-14 0.8097929267400091 0.1899514272600021 
0.458223 58.8739 0.000246964 9.9984e-15 0.8097999591600081 0.1899530768400019 
0.446629 58.6943 0.000238498 8.91334e-15 0.8098068166200073 0.18995468538000168 
0.435328 58.5177 0.000230477 7.95849e-15 0.8098133136300065 0.18995620937000152 
0.424314 58.3411 0.000222646 7.10001e-15 0.8098196567400058 0.18995769726000136 
0.413578 58.1645 0.000215003 6.32875e-15 0.8098258475700052 0.1899591494300012 
0.403114 57.988 0.000207545 5.63647e-15 0.8098318885500047 0.1899605664500011 
0.392914 57.81 0.000200176 5.00997e-15 0.8098378574400041 0.18996196656000094 
0.382973 57.6307 0.000192902 4.44426e-15 0.8098437493800037 0.18996334862000086 
0.373283 57.4514 0.00018582 3.93884e-15 0.8098494858000032 0.18996469420000073 
0.363838 57.2721 0.000178928 3.4877e-15 0.8098550683200029 0.18996600368000066 
0.354633 57.0929 0.00017223 3.0857e-15 0.8098604937000026 0.1899672763000006 
0.34566 56.9167 0.000165897 2.73437e-15 0.8098656234300022 0.18996847957000051 
0.336914 56.7405 0.000159733 2.42084e-15 0.809870616270002 0.18996965073000047 
